usuario,seguidores,seguidos,tweets,retweets
RodrigoJiso,389,375,0,1
YoliJimenezP,554,484,0,1
bibliodonihue,990,282,2,0
DOMINGUEZLM,24366,6548,0,2
davidgvtierrez,2628,776,0,2
Marioliva4,1378,2497,0,1
Angel_Ventures,763,542,0,1
paredesmla2,454,405,0,1
gperezedith,246,139,0,1
montespecuario,707,942,0,1
AguilarIrza,23,195,0,1
CarmenEMeza1,68,454,0,1
JSCEsplugues,311,351,0,1
Claritapv2,83,216,0,5
ConchaAvila,2721,2678,0,1
katerinevasp,24,13,0,3
111faro,153,97,0,1
cris230653,286,543,0,5
ColegiodeCorre1,61,540,0,1
Albertomdp57,1298,529,1,0
CarolinaCamOr,798,2366,0,1
CarmenGmAcebo,268,523,0,1
fradulo,62,70,0,1
gise0430,490,1990,0,1
CICBata,1167,628,0,2
Wilsonparachute,411,333,0,1
ScientificActiv,153,67,1,2
abriendodatoscr,1593,1098,1,0
griserochoa,231,732,0,1
contagiadx,359,904,0,2
Habitacion110,96,140,0,1
HelpArgentina,4715,1925,0,1
zpillado,389,1074,0,1
bliberoff,1696,36,0,2
barreraastrid,673,106,0,1
Dragonslynn1981,1056,1479,0,3
Constantinormzr,444,1810,0,1
casteandres93,512,1659,0,3
MojarroLopez,940,768,1,0
MatematicasIB,455,132,0,1
javierre_es,1517,156,3,4
Lista316,108,286,0,4
Soniaavargas,5092,4894,0,2
urjc,49070,616,0,1
CEComercioJusto,6324,825,0,1
FMBBVA,2890,444,3,0
LopezOyanarte,4,30,0,1
FJNF_,106,287,0,1
DavidMolinaGa,18,41,0,1
ONUMX,121349,720,3,1
pmalnati,85,240,1,0
SilviaRms,52,310,0,1
asiolegarcia,1360,2406,0,1
HerreraUy,105,985,0,1
RetoTech,1120,731,0,1
mastercoopera,3983,2353,1,2
raulrocawabe,1439,1354,0,1
tomateloapecho,4944,1396,0,1
lopezdiazasc5,809,2938,0,1
x_viola_x,466,984,0,1
Pemoes,222,402,0,2
CabaStreaming,253,955,0,1
IKI_Mexico,1164,472,0,1
acciontierra,502,5001,0,1
